Work,Name,Date,Category,Region,Price (USD)
63,Abstract Painting of Shells (ca. 1950),20th,"Drawing, Collage or other Work on Paper",North America,200
64,Vintage Bamboo Lamp  (1970s),20th,Design/Decorative Art,Europe,950.4
65,Glass Ice Bucket (1970s),20th,Design/Decorative Art,Europe,178.2
66,Vintage Chandelier  (1950),20th,Design/Decorative Art,Europe,1089
67,Vintage Silver Box  (early 20th century),NA,Design/Decorative Art,Europe,594
68,Globe (21th century),NA,Design/Decorative Art,Europe,346.5
69,Contemporary Murano Vase (1970s),20th,Design/Decorative Art,Europe,594
70,Vintage F.A.C.I. Ceramic Vase (1950s),20th,Design/Decorative Art,Europe,792
71,Rockaway Township School Drawing (ca. 1970),20th,"Drawing, Collage or other Work on Paper",North America,250
72,Portraits  (19th Century),19th,"Drawing, Collage or other Work on Paper",Europe,277.2
73,Silver Centrepiece (20th century),20th,Design/Decorative Art,Europe,1237.5
74,Abstract composition (Late 20th Century),20th,Painting,Europe,445.5
75,Neapolitan tambourine (19th century),19th,Design/Decorative Art,Europe,990
76,Otero Model 2748 Table Lamp (1984),NA,Design/Decorative Art,Europe,4158
77,Vintage Ceramic Lighter (1970s),20th,Design/Decorative Art,Europe,237.6
78,Chrome floor lamp (1970s),20th,Design/Decorative Art,Europe,1287
79,Crystal Vase (1970s),20th,Design/Decorative Art,Europe,297
80,Black Urn (1950s),20th,Design/Decorative Art,Europe,277.2
81,Red vintage Lamp (1970s),20th,Design/Decorative Art,Europe,1188
82,Vintage Bedside Table (1970s),20th,Design/Decorative Art,Europe,742.5
83,Vintage Red ashtray (1970s),20th,Design/Decorative Art,Europe,198
84,Vintage Magazine Rack  (1970s),20th,Design/Decorative Art,Europe,1336.5
85,Cartel clock (1768),NA,Design/Decorative Art,Europe,9405
86,White Glass Vase (1970s),20th,Design/Decorative Art,Europe,376.2
87,Silver Vase (early 20th century),NA,Design/Decorative Art,Europe,1989.9
88,Space Age Chandelier  (1970s),20th,Design/Decorative Art,Europe,683.1
89,Vintage Stilnovo Floor Lamp (1970s),20th,Design/Decorative Art,Europe,1980
90,Colorful Italian Impasto Floral Still Life  (ca. 1920),20th,Painting,North America,425
91,Contemporary Murano Vase (1970s),20th,Design/Decorative Art,Europe,594
92,Portraits  (19th Century),19th,"Drawing, Collage or other Work on Paper",Europe,277.2
93,Blue table Lamp (1970s),20th,Design/Decorative Art,Europe,990
94,"Vintage Wooden Sculpture ""Salmistraro"" (Late 20th Century)",20th,Sculpture,Europe,1584
95,Vintage Cromoluce Steel Lamp (1970s),20th,Design/Decorative Art,Europe,891
96,Vintage Venitian Brass Mask (1970s),20th,Design/Decorative Art,Europe,277.2
97,Crystal Blue chandelier (20th Century),20th,Design/Decorative Art,Europe,1287
98,Murano Glass Plates (1970),20th,Design/Decorative Art,Europe,673.2
99,Vintage Suspended Lamp (1950),20th,Design/Decorative Art,Europe,2178
100,Alabaster ashtray  (mid-20th century),20th,Design/Decorative Art,Europe,297
101,Vintage Brass Wall Mirror (1970s),20th,Design/Decorative Art,Europe,1386
102,Flames D'Amour Plate (1985),NA,Design/Decorative Art,Europe,495
103,Garibaldi's Tray (19th century),19th,Design/Decorative Art,Europe,297
104,Glass Carafe (1980's),NA,Design/Decorative Art,Europe,297
105,Vintage Bedside Table (1970s),20th,Design/Decorative Art,Europe,742.5
106,Vintage Silver Box  (early 20th century),NA,Design/Decorative Art,Europe,594
107,Silver Vase (early 20th century),NA,Design/Decorative Art,Europe,1989.9
108,Abstract composition (Late 20th Century),20th,Painting,Europe,445.5
109,Vintage Ceramic Cachepot (1970s),20th,Design/Decorative Art,Europe,237.6
110,Vintage Metal Vase (1970s),20th,Design/Decorative Art,Europe,198
111,Vintage Violet Vase (1970s),20th,Design/Decorative Art,Europe,198
112,Vintage Amphora Vase (1940s),20th,Design/Decorative Art,Europe,217.8
113,Pyramidal Smoking Set (1970s),20th,Design/Decorative Art,Europe,287.1
114,Silver Centerpiec (20th century),20th,Design/Decorative Art,Europe,940.5
115,Murano Glass Venetian Mask (1980s),NA,Design/Decorative Art,Europe,445.5
116,Artistic Plate (20th century),20th,Design/Decorative Art,Europe,237.6
117,Pair of of Porcelain Flamingos (1970s),20th,Design/Decorative Art,Europe,475.2
118,Vintage Table Lamp (1950),20th,Design/Decorative Art,Europe,841.5
119,“Valigia” table lamp (1970s),20th,Design/Decorative Art,Europe,1485
120,Murano Glass Plates (1970),20th,Design/Decorative Art,Europe,673.2
121,Vintage Suspended Lamp (1950),20th,Design/Decorative Art,Europe,2178
122,Midcentury Coat Stand (1970),20th,Design/Decorative Art,Europe,2079
123,Little Elephant (20th century),20th,Design/Decorative Art,Europe,1950.3
124,Moro Head Vase (1960s),20th,Sculpture,Europe,2772
125,Teak and Murano Floor Glass Lamp (1960s),20th,Design/Decorative Art,Europe,5445
126,Scar Flor Lamp (Mid-20th Century),20th,Design/Decorative Art,Europe,1782
127,Vintage Table Lamp (1960),20th,Design/Decorative Art,Europe,1485
128,The Sacred Flying Chariot (1937),NA,"Drawing, Collage or other Work on Paper",Europe,1188
129,Vintage Marble Egg (mid-20th century),20th,Design/Decorative Art,Europe,118.8
130,Vintage One Flower Glass Vase (1970s),20th,Design/Decorative Art,Europe,198
131,Murano table lamp (Mid-20th Century),20th,Design/Decorative Art,Europe,1188
132,Art Nouveau Bronze Mirror (Early 20th Century),20th,Design/Decorative Art,Europe,1782
133,Blue Dots Glass Vase (1970s),20th,Design/Decorative Art,Europe,485.1
134,Vintage Bottles Holder (1970s),20th,Design/Decorative Art,Europe,297
135,Paperweight with Roman Forum view (1850s),NA,Design/Decorative Art,Europe,3960
136,Silver Centerpiec (20th century),20th,Design/Decorative Art,Europe,940.5
137,Murano Glass Venetian Mask (1980s),NA,Design/Decorative Art,Europe,445.5
138,Vintage Crystal Blue Vase (1970s),20th,Design/Decorative Art,Europe,594
139,Grey Jade Indo-Chinese sculpture (19th Century),19th,Sculpture,Europe,841.5
140,Vintage Glass Vase (1970s),20th,Design/Decorative Art,Europe,445.5
141,Vintage Chinese Serpentine Sculpture (early 20th Century),20th,Sculpture,Europe,1485
142,Vintage Murano Vase (1970s),20th,Design/Decorative Art,Europe,4950
143,Vintage Dry Bar Cabinet (mid-20th Century),NA,Design/Decorative Art,Europe,8365.5
144,Vintage Mirror  (early 20th Century),20th,Design/Decorative Art,Europe,396
145,Vintage Turquoise Glass Vase (1970s),20th,Design/Decorative Art,Europe,178.2
146,Good Luck Ceramic Elephant (1970s),20th,Design/Decorative Art,Europe,297
147,Red Fishes Lamps (Mid-20th Century),20th,Design/Decorative Art,Europe,1188
148,Tang Dynasty Painted Pottery Dancer TL Tested (ca. 750),NA,Sculpture,North America,3300
149,Pink and Green Vintage Chandelier (1970s),20th,Design/Decorative Art,Europe,1188
150,Camel table lamp (mid 20th Century),NA,Design/Decorative Art,Europe,1188
151,Amphora Glass Vase (1970's),NA,Design/Decorative Art,Europe,198
152,Satin Art Glass Centerpiece (1950s),20th,Design/Decorative Art,Europe,346.5
153,Floral Candle Holder (20th century),20th,Design/Decorative Art,Europe,237.6
154,Vintage Orange Glass Vase (1970s),20th,Design/Decorative Art,Europe,237.6
155,Lighter and Ashtrays Set (1970s),20th,Design/Decorative Art,Europe,297
156,Abstract Portrait Study of Two Figures with a Hand (1976),20th,Painting,North America,750
157,C Plate - The Alphabet (1986),NA,Design/Decorative Art,Europe,386.1
158,Vintage Silver Centerpiece (20th century),20th,Design/Decorative Art,Europe,1237.5
159,Print Inspired by Venus of Willendorf (1956),NA,Print,North America,495
160,Vintage Wood Pen Holder and Lighter (1970s),20th,Design/Decorative Art,Europe,118.8
161,Mask  (ca. 1960),20th,Sculpture,North America,150
162,Art Deco Interior A. R. & Cie Catalog Print of Plate. 17 (1920),NA,Print,North America,400
163,Untitled (ca. 1960),20th,Sculpture,North America,175
164,Portrait of Bishop Gaspard Mermillod (19th Century),19th,Painting,Europe,6732
165,Vintage Glass Candy Box (1970s),20th,Design/Decorative Art,Europe,257.4
166,Lucky Blue Ceramic Elephant ( 1970s),NA,Design/Decorative Art,Europe,316.8
167,Plum Glass Bulb Vase (1970s),20th,Design/Decorative Art,Europe,178.2
168,Vintage Murano Glass Centerpiece (1970s),20th,Design/Decorative Art,Europe,356.4
169,Vintage Cobalt Blue Vase (1970s),20th,Design/Decorative Art,Europe,297
170,Vintage Decorated Silver Vase (1940s),20th,Design/Decorative Art,Europe,217.8
171,Flower Glass Vase (20th century),20th,Design/Decorative Art,Europe,445.5
172,Impressionist Summer River Landscape with Boats (Not dated),NA,Painting,North America,400
173,Samson and Delilah Plate (1987),NA,Design/Decorative Art,Europe,495
174,Phytomorphic Green Glass Vase (1970s),20th,Design/Decorative Art,Europe,237.6
175,Mask (ca. 1960),20th,Sculpture,North America,150
176,"Vintage ""Deruta"" Ceramics Pitcher (1970s)",20th,Design/Decorative Art,Europe,247.5
177,Archaic Bronze Ding Warring States Period (ca. 500 BCE),NA,Sculpture,North America,16000
178,"Orange and Red Mixed Media Work with Stenciled ""4VC"" (21st Century)",21st,"Drawing, Collage or other Work on Paper",North America,450
179,Vintage Glass Amphora (Mid-20th Century),20th,Design/Decorative Art,Europe,247.5
180,C Plate - The Alphabet (1986),NA,Design/Decorative Art,Europe,386.1
181,Pair of Vintage Hollywood Regency Lamps (Mid 20th Century),20th,Design/Decorative Art,Europe,2970
182,Vintage Floor Lamp Metal and Glass (1970s),20th,Design/Decorative Art,Europe,1485
183,Tang Dynasty Large And Important Pottery Horse TL Tested (ca. 750),NA,Sculpture,North America,23000
184,Vintage Glass and Silverplate Pitcher (1970s),20th,Design/Decorative Art,Europe,297
185,Red and Black Glass Vase (1980s),NA,Design/Decorative Art,Europe,336.6
186,Marine Shells Cachepot (Mid 20th century),20th,Design/Decorative Art,Europe,2376
187,Colorful Striped Vase (mid 20th century),NA,Design/Decorative Art,Europe,297
188,Untitled Mask (ca. 1960),20th,Sculpture,North America,150
189,Vintage Glass Candy Box (Mid-20th Century),20th,Design/Decorative Art,Europe,198
190,Mosque in Constantinople (Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,891
191,Brass Decorative Centerpiece (Early 20th Century),20th,Design/Decorative Art,Europe,346.5
192,Horses (20th Century),20th,Print,Europe,198
193,Couple of Blown Glass Baskets (1970s),20th,Design/Decorative Art,Europe,475.2
194,Early Watercolor Painting of Redwood Forest in California (20th Century),20th,"Drawing, Collage or other Work on Paper",North America,1500
195,Vintage Brass and Metal Table Lamp (1970s),20th,Design/Decorative Art,Europe,693
196,Pink Oriental Censer (Early 20th Century),20th,Design/Decorative Art,Europe,475.2
197,Vintage Silver Centerpiece (20th century),20th,Design/Decorative Art,Europe,1237.5
198,The concert (19th Century),19th,Painting,Europe,396
199,Horse's Head  (Late 19th Century),19th,"Drawing, Collage or other Work on Paper",Europe,336.6
200,Archaic Bronze Ding Warring States Period (ca. 500 BCE),NA,Sculpture,North America,16000
201,Cupido Table Lamp (Mid-20th Century),20th,Design/Decorative Art,Europe,1188
202,Set of 3 Crystal Glasses (1970s),20th,Design/Decorative Art,Europe,386.1
203,Pair of Vintage MIM Armchairs (half of 20th Century),NA,Design/Decorative Art,Europe,3762
204,Vintage Dutch Crystal Vase (1970's),NA,Design/Decorative Art,Europe,217.8
205,"Green, Pink, and Blue Abstract Modern Cubist Painting (1971)",NA,Painting,North America,500
206,"Murano Glass Vase Model ""5357"" (1950s)",20th,Design/Decorative Art,Europe,3762
207,Pair of Design Candlesticks (Mid-20th Century),20th,Design/Decorative Art,Europe,277.2
208,Pair of Luminator Floor Lamps (Pair of Luminator Floor Lamps),NA,Design/Decorative Art,Europe,3762
209,Vintage Floor Metal Lamp  (20th century),20th,Design/Decorative Art,Europe,643.5
210,"Murano Glass Vase Model ""5357"" (1950s)",20th,Design/Decorative Art,Europe,3762
211,Pair of Design Candlesticks (Mid-20th Century),20th,Design/Decorative Art,Europe,277.2
212,One Flower Glass and Silver Small Vase (mid-20th century),20th,Design/Decorative Art,Europe,148.5
213,New Mexico or West Texas Desert Painterly Landscape (Late 20th Century),20th,Painting,North America,750
214,Untitled Mexican Mask (ca. 1960),20th,Sculpture,North America,150
215,Vintage Glass and Brass Ice Container (mid-20th Century),NA,Design/Decorative Art,Europe,198
216,Vintage Rosenthal Gilded Porcelain Vase (Mid-20th Century),20th,Design/Decorative Art,Europe,673.2
217,Portrait (Mid 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,336.6
218,"Red, Yellow, and Teal Modern Pop Art Donald Duck Christmas Themed Drawing (20th Century)",20th,"Drawing, Collage or other Work on Paper",North America,500
219,Untitled Mask from Mexico (ca. 1960),20th,Sculpture,North America,150
220,Folk Art Mask from Mexico (ca. 1960),20th,Sculpture,North America,150
221,Landscape (1960s),20th,Painting,Europe,350.3
222,Noblemen and Noblewomen (Mid 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,247.5
223,Portrait  (Mid 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,339
224,Untitled Mask (ca. 1960),20th,Sculpture,North America,150
225,Pink Oriental Censer (Early 20th Century),20th,Design/Decorative Art,Europe,475.2
226,Untitled Mask (ca. 1960),20th,Sculpture,North America,150
227,Vintage Leather Desk Complete Set (Mid-20th Century),20th,Design/Decorative Art,Europe,297
228,Tea Ceremony ( Early 20th century),NA,Mixed Media,Europe,534.6
229,Mask from Mexico (ca. 1960),20th,Sculpture,North America,150
230,Vintage Traditional Florentine Carnival Mask (mid-20th Century),NA,Design/Decorative Art,Europe,376.2
231,Abstract Mixed Media Blue and Green Resin Piece (2006),21st,Painting,North America,1200
232,Chinese Architectural Landscape of the Great Wall (20th Century),20th,Print,North America,750
233,Garibaldi in the Battle (19th Century),19th,Mixed Media,Europe,891
234,Portrait of Giuseppe Garibaldi (19th Century),19th,Painting,Europe,2376
235,"Heinrich Wildemann (1904-1964), Untitled, 1950 (1950)",20th,Painting,Europe,6930
236,Nudes (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,259.9
237,"""Exact Folly"" Small Blue and Purple Abstract Geometric Modern Collage (1976)",20th,"Drawing, Collage or other Work on Paper",North America,450
238,Nude (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,339
239,Nude Woman (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,259.9
240,"""Fire Boy K."" Surrealist Polka Dot Print (ca. 2000)",21st,Print,North America,250
241,Blue Textured Mid Century Modern Abstract Expressionist Painting (Not dated),NA,Painting,North America,1200
242,"Large Cream, Red, Black, and Green Geometric Abstract Mixed Media Painting (1986)",NA,Mixed Media,North America,1200
243,Portrait (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,203.4
244,The House (19th Century ),19th,Painting,Europe,1808
245,Noblemen and Noblewomen (Mid 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,259.9
246,Hanging Man (20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,282.5
247,Portrait (Mid-20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,282.5
248,Composition  (1969),20th,Painting,Europe,1299.5
249,Rome (1899),19th,Painting,Europe,960.5
250,Empress  (Late 19th Century),19th,Painting,Europe,1356
251,Study of Nudes (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,259.9
252,Oriental Slave Traders (19th century),19th,Painting,Europe,90400
253,Nudes (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,384.2
254,"Young Woman as Muse, J. L. Blanchard, Rome 1788 (1788)",NA,Painting,Europe,13860
255,Oriental Scene (Mid 20th Century),20th,Painting,Europe,305.1
256,Landscape (Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,282.5
257,Modern Bronze Abstract Skeletal Lion Animal Sculpture (20th Century),20th,Sculpture,North America,1800
258,Abstract Figurative Marble Scuplture Signed Mario C: G: (ca. 1900),20th,Sculpture,North America,2800
259,Neoclassical Cupid Holding Fish Patinaed Bronze Fountain Sculpture  (Mid-20th Century),20th,Sculpture,North America,5500
260,Tabriz Carpet (c. 1890),19th,Textile Arts,North America,45000
261,Untitled  (ca. 2000),21st,"Drawing, Collage or other Work on Paper",North America,250
262,Organic Modern Polished Wooden Root Sphere Sculpture (20th Century),20th,Sculpture,North America,1200
263,"Giraffe Piano by Christoph Ehrlich zu Bamberg, around 1820 (1820-1830)",NA,Other,Europe,55440
264,Figure (Mid-20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,305.1
265,Cody Airplane (1896),19th,"Drawing, Collage or other Work on Paper",Europe,1627.2
266,Hand Carved Naturalistic Wooden White Eagle Statue / Wildlife Sculpture (20th Century),20th,Sculpture,North America,2200
267,Seagulls (1990),20th,"Drawing, Collage or other Work on Paper",Europe,384.2
268,Battle Scene (18th Century ),18th,Painting,Europe,6554
269,Seagulls (1990),20th,"Drawing, Collage or other Work on Paper",Europe,384.2
270,Large Modern Organic Abstract Suspended Wood and Rebar Metal Sculpture (Late 20th Century),20th,Sculpture,North America,1800
271,Portrait (Mid-20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,259.9
272,Forum Romanum (19th Century),19th,Painting,Europe,1017
273,Nude of Woman  (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,282.5
274,Long Horizontal Brown Toned Wooden Painted Wall Sculpture of a Town Landscape (20th Century),20th,Sculpture,North America,1800
275,Pilgrim's Madonna (Late 18th Century),18th,Painting,Europe,485.9
276,La Cervara (1847),19th,"Drawing, Collage or other Work on Paper",Europe,463.3
277,Cut Paper Desert Arizona / New Mexico Night Landscape (21st Century),21st,Mixed Media,North America,350
278,Dove of Peace (Mid 20th Century),20th,Painting,Europe,858.8
279,"""Calle de Gerona Plaza Mayor, Madrid"" Yellow Toned Watercolor Town Landscape (1999)",20th,"Drawing, Collage or other Work on Paper",North America,450
280,The Chariot (ca. 1950),20th,"Drawing, Collage or other Work on Paper",Europe,384.2
281,Radicofani (19th Century),19th,"Drawing, Collage or other Work on Paper",Europe,8588
282,Russian Fauvist Landscape (ca. 1990),20th,Painting,North America,2150
283,Hand Carved Naturalistic Wooden White Eagle Statue / Wildlife Sculpture (20th Century),20th,Sculpture,North America,2200
284,Monumental Pair of Mayan Terracotta Bronze Patina Color Sculptural Heads (20th Century),20th,Sculpture,North America,2200
285,Ponza Island (18th century),18th,Painting,Europe,16780.5
286,Persian Sybil (18th Century),18th,Painting,Europe,9718
287,Large Modern Organic Abstract Entangled Wood and Rebar Metal Sculpture (Late 20th Century),20th,Sculpture,North America,1800
288,Landscape (Mid-20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,316.4
289,Prayer (17th Century),17th,Painting,Europe,1130
290,Landscape (17th Century),17th,Painting,Europe,2825
291,1970s (1970s),20th,"Drawing, Collage or other Work on Paper",Europe,858.8
292,Earth Toned Naturalistic Colorado Mountain Landscape with Native Bear Hunter  (20th Century),20th,Painting,North America,1200
293,The Maidserva  (Late 19th Century),19th,"Drawing, Collage or other Work on Paper",Europe,367.25
294,River Landscape with Bystanders (18th Century),18th,Painting,Europe,2938
295,"Portrait of a Lady with Child, Flemish Master of the 17th Century, dated 1617 (1617)",NA,Painting,Europe,11880
296,Africa Scrive (Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,305.1
297,Nude of Woman  (Mid-20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,361.6
298,"Large Blue, Red, and Yellow Modern Abstract Triangular Wall Sculpture Painting (Late 20th Century)",20th,Sculpture,North America,1500
299,A Rich Merchant (18th Century),18th,Painting,Europe,7627.5
300,Figures  (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,203.4
301,Allegory of a Bird (Late 19th Century),19th,"Drawing, Collage or other Work on Paper",Europe,305.1
302,Trajan (1973),20th,Print,Europe,1695
303,Nude (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,339
304,Portrait of Young Giuseppe Garibaldi (19th century),19th,Painting,Europe,960.5
305,Kilim (19th Century),19th,Textile Arts,North America,12500
306,Cons I (1952),20th,Painting,North America,1500
307,Cardinal with Missive (17th Century),17th,Painting,Europe,3955
308,Selection of Antique Chinese Water Pipes. (19th C),19th,Other,Europe,11543.4
309,Lunar fantasy (Late 20th Century),20th,Painting,Europe,3955
310,Noblewoman Embracing Faith (18th Century),18th,Painting,Europe,2655.5
311,Sketch (20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,203.4
312,Cathedral of Murano (Late 19th Century),19th,Photography,Europe,475.2
313,Portrait of Anita Garibaldi (Late 19th Century),19th,Painting,Europe,1525.5
314,Still Life Composition (Late 20th Century),20th,Painting,Europe,904
315,The Market (18th Century),18th,Painting,Europe,3661.2
316,Portrait of Garibaldinian Soldier (19th Century),19th,Painting,Europe,2655.5
317,Arabic Desert  (late 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,915.3
318,Portrait (Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,237.3
319,Portrait of Garibaldinian Soldier (19th Century),19th,Painting,Europe,1808
320,The imprisonment (17th century),17th,"Drawing, Collage or other Work on Paper",Europe,757.1
321,Pair of Landscapes (18th Century),18th,Painting,Europe,4576.5
322,Fighting Tigers and a Lion (Mid 17th century),17th,Painting,Europe,17374.5
323,"Untitled (Geometric Abstraction, Cityscape, Feyninger) (Circa 1970s)",20th,Painting,North America,2450
324,Vintage Magazine Rack (1970s),20th,Design/Decorative Art,Europe,870.1
325,Landscapes with View of Ancient Rome (Mid 19th century),19th,Painting,Europe,4859
326,Apollo and Dafne (1712/1719),18th,Sculpture,Europe,7627.5
327,Noble Man Reading (18th Century),18th,Painting,Europe,2599
328,Noble Man Reading (18th Century),18th,Painting,Europe,2599
329,Black and Blue Abstract Mixed Media Collage with B&W Portrait of a Woman (20th Century),20th,Print,North America,875
330,Aerial View of the Colosseum (1940s),20th,Painting,Europe,3051
331,The Portraits (Mid-20th century),NA,"Drawing, Collage or other Work on Paper",Europe,305.1
332,The Portrait (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,339
333,The Missionary (Mid 19th Century),19th,"Drawing, Collage or other Work on Paper",Europe,248.6
334,The Horse (1950s),20th,Painting,Europe,655.4
335,The Sleeping Nude  (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,339
336,Vintage Bedside Table (1970s),20th,Design/Decorative Art,Europe,870.1
337,The Sleeping Woman (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,339
338,Vintage Adjustable Brass and Marble Floor Lamp (1950),20th,Design/Decorative Art,Europe,3465
339,Pair of Religious Scenes (18th Century ),18th,Painting,Europe,5085
340,The Mirror (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,282.5
341,Impressionist Western Landscape (20th Century ),20th,"Drawing, Collage or other Work on Paper",North America,960
342,Portrait of Garibaldi (ca. 1880 ),19th,Painting,Europe,1299.5
343,Deities (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,305.1
344,Lunar fantasy (Late 20th Century),20th,Painting,Europe,3955
